Date,Open,High,Low,Close,Adj Close,Volume
2003-09-29,102.290001,102.300003,102.099998,102.169998,54.841244,13600
2003-09-30,102.300003,102.739998,102.290001,102.699997,55.125774,62600
2003-10-01,102.639999,102.750000,102.599998,102.650002,55.098927,66300
2003-10-02,102.199997,102.650002,102.010002,102.489998,55.013020,68900
2003-10-03,102.050003,102.050003,101.699997,101.750000,54.615814,64500
2003-10-06,101.639999,101.989998,101.599998,101.900002,54.696339,28700
2003-10-07,101.940002,101.940002,101.379997,101.550003,54.508511,13000
2003-10-08,101.489998,102.050003,101.279999,101.800003,54.642693,42700
2003-10-09,101.389999,101.500000,101.099998,101.440002,54.449451,35900
2003-10-10,101.680000,102.050003,101.680000,102.000000,54.749996,13500
2003-10-13,102.000000,102.099998,101.550003,101.550003,54.508511,23700
2003-10-14,101.440002,101.589996,101.139999,101.349998,54.401119,54300
2003-10-15,101.180000,101.239998,100.900002,101.099998,54.266945,23100
2003-10-16,101.389999,101.550003,100.550003,100.830002,54.121990,62300
2003-10-17,101.040001,101.309998,100.750000,101.309998,54.379631,55600
2003-10-20,101.139999,101.470001,101.139999,101.250000,54.347424,12900
2003-10-21,101.389999,101.730003,101.389999,101.449997,54.454781,49000
2003-10-22,101.750000,101.949997,101.510002,101.900002,54.696339,25400
2003-10-23,101.839996,101.870003,101.650002,101.650002,54.562153,20700
2003-10-24,101.800003,102.150002,101.800003,102.150002,54.830490,28200
2003-10-27,102.040001,102.120003,101.800003,101.949997,54.723179,35400
2003-10-28,101.800003,102.349998,101.800003,102.349998,54.937881,16600
2003-10-29,102.080002,102.099998,101.900002,101.900002,54.696339,71700
2003-10-30,101.790001,101.959999,101.779999,101.900002,54.696339,17300
2003-10-31,101.900002,101.900002,101.400002,101.739998,54.610447,31000
2003-11-03,101.330002,101.419998,101.199997,101.199997,54.512970,56700
2003-11-04,101.449997,101.580002,101.400002,101.400002,54.620678,26900
2003-11-05,101.500000,101.570000,101.400002,101.400002,54.620678,24600
2003-11-06,101.180000,101.190002,100.849998,100.849998,54.324432,78000
2003-11-07,100.690002,100.900002,100.550003,100.900002,54.351357,33400
2003-11-10,101.080002,101.139999,100.910004,101.089996,54.453701,21100
2003-11-11,101.180000,101.199997,100.809998,100.910004,54.356739,23700
2003-11-12,101.040001,101.339996,100.809998,101.099998,54.459110,16400
2003-11-13,101.529999,101.910004,101.529999,101.839996,54.857731,25400
2003-11-14,101.919998,102.160004,101.889999,101.919998,54.900768,18800
2003-11-17,102.220001,102.419998,102.180000,102.349998,55.132420,48800
2003-11-18,102.129997,102.349998,102.050003,102.300003,55.105461,26800
2003-11-19,102.279999,102.300003,101.820000,101.820000,54.846935,44900
2003-11-20,102.000000,102.260002,101.940002,102.169998,55.035442,21400
2003-11-21,102.339996,102.440002,102.209999,102.279999,55.094746,66500
2003-11-24,102.089996,102.139999,101.849998,101.849998,54.863117,37000
2003-11-25,101.779999,102.250000,101.779999,102.250000,55.078571,54000
2003-11-26,102.080002,102.139999,101.879997,101.879997,54.879261,25300
2003-11-28,101.750000,101.750000,101.720001,101.720001,54.793030,22900
2003-12-01,101.150002,101.320000,101.000000,101.169998,54.642914,58700
2003-12-02,100.839996,101.150002,100.599998,101.139999,54.626709,52100
2003-12-03,100.900002,101.349998,100.900002,101.239998,54.680752,32400
